,_key,city,country,employees_on_linkedin,faxNumber,followers,founded,hq,image_url,industry,linkedin_id,naics,naicsText,name,overview,phoneNumber,postal,revenue,sic,sicText,size,specialites,state,street_1,street_2,type,updated,url,website
0,000000e8-f2b4-43e2-a88a-a3ecc29e7aa5,London,United Kingdom,,,1,,"194 HIGH ROAD, LONDON, N22 8HH, United Kingdom",,Restaurants,6331598,,,CHICKEN SHAK LTD,"CHICKEN SHAK LTD is a Restaurants company located in 194 HIGH ROAD, LONDON, United Kingdom.",,N22 8HH,,,,1-10 employees,,,194 HIGH ROAD,,,2016-04-21T12:00:09,www.linkedin.com/company/chicken-shak-ltd,http://www.chickenshaksc.com
1,00000123-d006-41f8-b40e-b403db4ceb08,Little Ferry,United States,,,4,,"28 Lamker Ct, Little Ferry, New Jersey, 07643-2110, United States",http://media.licdn.com/mpr/mpr/shrink_200_200/p/1/005/09d/004/309aa51.jpg,Consumer Services,4769458,,,Quality Installation Services,Complete appliance installation from start to finish.,,07643-2110,,,,11-50 employees,,New Jersey,28 Lamker Ct,,,2016-04-21T18:49:35,www.linkedin.com/company/quality-installation-services,http://www.qualityinstallationsvcs.com
2,00000612-ed30-477a-abbe-6346ab660ea6,Surrey,Canada,,,15,1912.0,"13240 Comber Way, #, Surrey, BC, V3W5A5, Canada",http://media.licdn.com/mpr/mpr/shrink_200_200/AAEAAQAAAAAAAAVqAAAAJDg3ODlkYjFiLTA3MTYtNDc3YS05ODMwLTc0NjE2NmZkYWI2YQ.png,Building Materials,10086713,,,I-XL Masonry Supplies,"I-XL Masonry Supplies is a fourth generation family owned company and has been helping owners, designers, and architects create beauty and value with our quality brick and stone products since 1912. We offer a complete range of masonry products that provide distinguished good looks and superior investment value.",,V3W5A5,,,,51-200 employees,"Brick, Manufactured Stone, Masonry, Natural Stone",BC,13240 Comber Way,#,Public Company,2016-04-25T00:14:59,www.linkedin.com/company/10086713,http://ixlmasonry.com
3,00000cde-112a-40cc-9673-4ec574c2f5a7,Houston,United States,,,3,,"9900 Neuens Rd, Houston, Texas, 77080, United States",,Primary/Secondary Education,8268163,,,Pine Shadows Elementary School,"Pine Shadows Elementary School is a Primary/Secondary company located in 9900 Neuens Rd, Houston, Texas, United States.",,77080,,,,1-10 employees,,Texas,9900 Neuens Rd,,,2016-04-23T16:10:25,www.linkedin.com/company/pine-shadows-elementary-school,http://pse.springbranchisd.com
4,00000d84-f89e-4d8a-8b2f-5a8c7c4a49b4,,,,,3,,,http://media.licdn.com/mpr/mpr/shrink_200_200/AAEAAQAAAAAAAAV4AAAAJDhhOTJhODgxLTBkMzAtNDdhZC04NmFjLTgyMTM5Y2JmNGVkMQ.png,Building Materials,10337835,,,Jialifu HPL toilet partition & locker,"Welcome to Jialifu showcase! Here comes all kinds of toilet partitions, lockers and HPL products we are selling, and brings you the newest update design products.",,,,,,51-200 employees,,,,,,2016-04-21T02:47:55,www.linkedin.com/company/jialifu-hpl-toilet-partition-&-locker,http://www.yuhua-hpl.com
5,00000f78-fbe3-4796-9de5-3d97388ef037,Cove,United States,,,0,,"PO Box 1366, Green Cove Spgs, FL, 32043, United States",,Information Technology and Services,6542129,,,Clay County Information,"Clay County Information is an Information Technology and Services company located in PO Box 1366, Green Cove Spgs, FL, United States.",,32043,,,,1-10 employees,,FL,PO Box 1366,,,2016-04-21T20:30:07,www.linkedin.com/company/clay-county-information,
6,00001005-4b30-49b4-bfe8-02f3b861efe8,Sturgeon Bay,United States,,,0,,"3468 Clark Lake Ct, Sturgeon Bay, Wisconsin, 54235-9558, United States",,Hospitality,8118887,,,Denessen Contracting,"Denessen Contracting is a Hospitality company located in 3468 Clark Lake Ct, Sturgeon Bay, Wisconsin, United States.",,54235-9558,,,,1-10 employees,,Wisconsin,3468 Clark Lake Ct,,,2016-04-23T19:32:44,www.linkedin.com/company/denessen-contracting,
7,00001aec-b9c0-4f75-a3db-89aaa1cf5ca3,Canterbury,United Kingdom,,,0,,"ZENDRILL HOUSE BLIND LANE BREDHURST, GILLINGHAM, KENT, ME7 3JS, United Kingdom",,,8254803,,,VERITY SMITH FACE AND BODY LIMITED,"VERITY SMITH FACE AND BODY LIMITED is a company based out of ZENDRILL HOUSE BLIND LANE BREDHURST, GILLINGHAM, KENT, United Kingdom.",,ME7 3JS,,,,,,KENT,ZENDRILL HOUSE BLIND LANE BREDHURST,,,2016-04-21T11:33:27,www.linkedin.com/company/verity-smith-face-and-body-limited,http://www.veritysmithfaceandbody.co.uk
8,00002057-9d1f-476c-89ea-ec4c1f8add23,Calumet,United States,,,0,,"114 East Main, Calumet, Oklahoma, 73014, United States",,Banking,6252235,,,AllNations Bank,AllNations Bank of Calumet & Shawnee Oklahoma NetTeller Online Banking Service.,,73014,,,,1-10 employees,,Oklahoma,114 East Main,,,2016-04-21T21:56:17,www.linkedin.com/company/allnations-bank,http://www.anbok.com
9,000021a6-92e4-413f-9481-c42ec570e72d,MICKLETON,United Kingdom,,,2,,"STOCKMANS COTTAGE HONEYBOURNE LANE, MICKLETON, GLOUCESTERSHIRE, GL55 6PU, United Kingdom",,Veterinary,8054148,,,LEARNING ABOUT DOGS LIMITED,"LEARNING ABOUT DOGS LIMITED is a Veterinary company located in STOCKMANS COTTAGE HONEYBOURNE LANE, MICKLETON, GLOUCESTERSHIRE, United Kingdom.",,GL55 6PU,,,,1-10 employees,,GLOUCESTERSHIRE,STOCKMANS COTTAGE HONEYBOURNE LANE,,,2016-04-21T12:54:26,www.linkedin.com/company/learning-about-dogs-limited,http://www.learningaboutdogs.com
